organization_name,organization_abbr,organization_type,person_official_id,person_name,membership_type,start_date,end_date
Committee on Regional Development,REGI,Committee,197826,Matteo ADINOLFI,Member,2022-01-20,
"Committee on Industry, Research and Energy",ITRE,Committee,197826,Matteo ADINOLFI,Member,2022-03-01,
Delegation to the Euro-Latin American Parliamentary Assembly,DLAT,Delegation,197826,Matteo ADINOLFI,Substitute,2019-07-02,2020-02-11
Committee on Budgets,BUDG,Committee,197826,Matteo ADINOLFI,Substitute,2019-07-02,2022-01-19
"Committee on Industry, Research and Energy",ITRE,Committee,197826,Matteo ADINOLFI,Substitute,2019-07-02,2022-01-19
Committee on Regional Development,REGI,Committee,197826,Matteo ADINOLFI,Substitute,2021-06-01,2021-10-05
"Committee on Industry, Research and Energy",ITRE,Committee,197826,Matteo ADINOLFI,Substitute,2022-01-20,2022-02-28
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,197826,Matteo ADINOLFI,Substitute,2022-01-20,
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,197826,Matteo ADINOLFI,Substitute,2022-02-17,
Committee on Petitions,PETI,Committee,197403,Alex AGIUS SALIBA,Vice-Chair,2022-01-26,
Committee on the Internal Market and Consumer Protection,IMCO,Committee,197403,Alex AGIUS SALIBA,Member,2019-07-02,2022-01-19
Committee on Petitions,PETI,Committee,197403,Alex AGIUS SALIBA,Member,2019-07-02,2022-01-19
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,197403,Alex AGIUS SALIBA,Member,2019-07-02,
Delegation to the Parliamentary Assembly of the Union for the Mediterranean,DMED,Delegation,197403,Alex AGIUS SALIBA,Member,2019-07-02,
Committee on Petitions,PETI,Committee,197403,Alex AGIUS SALIBA,Member,2022-01-20,2022-01-25
Committee on the Internal Market and Consumer Protection,IMCO,Committee,197403,Alex AGIUS SALIBA,Member,2022-01-20,
Committee on Employment and Social Affairs,EMPL,Committee,197403,Alex AGIUS SALIBA,Substitute,2019-07-02,2022-01-19
Delegation for Relations with Palestine,DPAL,Delegation,197403,Alex AGIUS SALIBA,Substitute,2019-07-02,
Special Committee on Artificial Intelligence in a Digital Age,AIDA,Special Committee,197403,Alex AGIUS SALIBA,Substitute,2020-09-14,2022-03-23
Committee on Employment and Social Affairs,EMPL,Committee,197403,Alex AGIUS SALIBA,Substitute,2022-01-20,
"Committee on Industry, Research and Energy",ITRE,Committee,197403,Alex AGIUS SALIBA,Substitute,2022-03-08,
Committee on Agriculture and Rural Development,AGRI,Committee,198096,Mazaly AGUILAR,Vice-Chair,2019-07-23,2022-01-19
Committee on Agriculture and Rural Development,AGRI,Committee,198096,Mazaly AGUILAR,Vice-Chair,2022-01-20,
Committee on Agriculture and Rural Development,AGRI,Committee,198096,Mazaly AGUILAR,Member,2019-07-02,2019-07-22
Committee on International Trade,INTA,Committee,198096,Mazaly AGUILAR,Substitute,2019-07-02,2022-01-19
Subcommittee on Security and Defence,SEDE,Subcommittee,198096,Mazaly AGUILAR,Substitute,2019-07-02,2022-01-19
Delegation for Relations with the United States,D-US,Delegation,198096,Mazaly AGUILAR,Substitute,2019-07-02,
Delegation for Relations with the NATO Parliamentary Assembly,DNAT,Delegation,198096,Mazaly AGUILAR,Substitute,2019-07-02,
Committee of Inquiry on the Protection of Animals During Transport,ANIT,Special Committee,198096,Mazaly AGUILAR,Substitute,2020-06-19,2021-12-19
Committee on International Trade,INTA,Committee,198096,Mazaly AGUILAR,Substitute,2022-01-20,
Subcommittee on Security and Defence,SEDE,Subcommittee,198096,Mazaly AGUILAR,Substitute,2022-01-20,
Delegation to the EU-Mexico Joint Parliamentary Committee,D-MX,Delegation,125045,Clara AGUILERA,Vice-Chair,2019-10-09,
Delegation to the EU-Mexico Joint Parliamentary Committee,D-MX,Delegation,125045,Clara AGUILERA,Member,2019-07-02,2019-10-08
Committee on Agriculture and Rural Development,AGRI,Committee,125045,Clara AGUILERA,Member,2019-07-02,2022-01-19
Committee on Fisheries,PECH,Committee,125045,Clara AGUILERA,Member,2019-07-02,2022-01-19
Delegation to the Euro-Latin American Parliamentary Assembly,DLAT,Delegation,125045,Clara AGUILERA,Member,2019-07-02,
Committee on Agriculture and Rural Development,AGRI,Committee,125045,Clara AGUILERA,Member,2022-01-20,
Committee on Fisheries,PECH,Committee,125045,Clara AGUILERA,Member,2022-01-20,
Committee on the Internal Market and Consumer Protection,IMCO,Committee,125045,Clara AGUILERA,Substitute,2019-07-02,2022-01-19
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,125045,Clara AGUILERA,Substitute,2019-10-08,2021-09-08
Delegation for Relations with the Federative Republic of Brazil,D-BR,Delegation,125045,Clara AGUILERA,Substitute,2019-10-08,
Committee of Inquiry on the Protection of Animals During Transport,ANIT,Special Committee,125045,Clara AGUILERA,Substitute,2020-06-19,2021-12-19
Committee on the Internal Market and Consumer Protection,IMCO,Committee,125045,Clara AGUILERA,Substitute,2022-01-20,
Committee on Transport and Tourism,TRAN,Committee,197696,Scott AINSLIE,Member,2019-07-02,2020-01-31
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,197696,Scott AINSLIE,Member,2019-07-02,2020-01-31
Committee on Constitutional Affairs,AFCO,Committee,197696,Scott AINSLIE,Substitute,2019-07-02,2020-01-31
Delegation for Relations with Mercosur,DMER,Delegation,197696,Scott AINSLIE,Substitute,2019-07-02,2020-01-31
Delegation for Relations with the Countries of South Asia,DSAS,Delegation,197696,Scott AINSLIE,Substitute,2019-07-02,2020-01-31
Committee on Foreign Affairs,AFET,Committee,204335,Alviina ALAMETSÄ,Member,2020-02-10,2022-01-19
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,204335,Alviina ALAMETSÄ,Member,2020-02-12,2022-02-16
Subcommittee on Security and Defence,SEDE,Subcommittee,204335,Alviina ALAMETSÄ,Member,2020-12-17,2022-01-19
Subcommittee on Security and Defence,SEDE,Subcommittee,204335,Alviina ALAMETSÄ,Member,2022-01-20,2022-12-11
Committee on Foreign Affairs,AFET,Committee,204335,Alviina ALAMETSÄ,Member,2022-01-20,
Committee on Petitions,PETI,Committee,204335,Alviina ALAMETSÄ,Member,2022-02-16,2022-09-11
Subcommittee on Security and Defence,SEDE,Subcommittee,204335,Alviina ALAMETSÄ,Substitute,2020-02-10,2020-12-16
Committee on Development,DEVE,Committee,204335,Alviina ALAMETSÄ,Substitute,2020-02-10,2022-01-19
Committee on Transport and Tourism,TRAN,Committee,204335,Alviina ALAMETSÄ,Substitute,2020-02-10,2022-01-19
Delegation for Relations with the United States,D-US,Delegation,204335,Alviina ALAMETSÄ,Substitute,2020-02-12,
Delegation for Relations with the Pan-African Parliament,DPAP,Delegation,204335,Alviina ALAMETSÄ,Substitute,2020-02-12,
Committee on Development,DEVE,Committee,204335,Alviina ALAMETSÄ,Substitute,2022-01-20,2022-02-15
Committee on Transport and Tourism,TRAN,Committee,204335,Alviina ALAMETSÄ,Substitute,2022-01-20,
Delegation for Relations with India,D-IN,Delegation,204335,Alviina ALAMETSÄ,Substitute,2022-02-17,
Committee on Petitions,PETI,Committee,204335,Alviina ALAMETSÄ,Substitute,2022-09-12,
Subcommittee on Security and Defence,SEDE,Subcommittee,204335,Alviina ALAMETSÄ,Substitute,2022-12-12,
Delegation for Relations with the Federative Republic of Brazil,D-BR,Delegation,237224,João ALBUQUERQUE,Vice-Chair,2022-11-10,
Delegation for Relations with the Federative Republic of Brazil,D-BR,Delegation,237224,João ALBUQUERQUE,Member,2022-09-14,2022-11-09
Committee on Employment and Social Affairs,EMPL,Committee,237224,João ALBUQUERQUE,Member,2022-09-14,
Committee on Fisheries,PECH,Committee,237224,João ALBUQUERQUE,Member,2022-09-14,
Delegation to the EU-Russia Parliamentary Cooperation Committee,D-RU,Delegation,237224,João ALBUQUERQUE,Member,2022-09-14,
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,237224,João ALBUQUERQUE,Substitute,2022-09-14,
Committee on Culture and Education,CULT,Committee,237224,João ALBUQUERQUE,Substitute,2022-09-14,
Committee on Petitions,PETI,Committee,237224,João ALBUQUERQUE,Substitute,2022-09-14,
Delegation for Relations with Mercosur,DMER,Delegation,237224,João ALBUQUERQUE,Substitute,2022-09-14,
Delegation to the Euro-Latin American Parliamentary Assembly,DLAT,Delegation,237224,João ALBUQUERQUE,Substitute,2022-09-14,
Committee on Foreign Affairs,AFET,Committee,197836,Alexander ALEXANDROV YORDANOV,Member,2019-07-02,2022-01-19
Delegation to the EU-North Macedonia Joint Parliamentary Committee,D-MK,Delegation,197836,Alexander ALEXANDROV YORDANOV,Member,2019-07-02,
Committee on Foreign Affairs,AFET,Committee,197836,Alexander ALEXANDROV YORDANOV,Member,2022-01-20,
Committee on Employment and Social Affairs,EMPL,Committee,197836,Alexander ALEXANDROV YORDANOV,Substitute,2019-07-02,2022-01-19
Committee on Constitutional Affairs,AFCO,Committee,197836,Alexander ALEXANDROV YORDANOV,Substitute,2019-07-02,2022-01-19
Delegation to the EU-Moldova Parliamentary Association Committee,D-MD,Delegation,197836,Alexander ALEXANDROV YORDANOV,Substitute,2019-07-02,
Delegation to the Euronest Parliamentary Assembly,DEPA,Delegation,197836,Alexander ALEXANDROV YORDANOV,Substitute,2019-07-02,
Committee on Employment and Social Affairs,EMPL,Committee,197836,Alexander ALEXANDROV YORDANOV,Substitute,2022-01-20,
Committee on Constitutional Affairs,AFCO,Committee,197836,Alexander ALEXANDROV YORDANOV,Substitute,2022-01-20,
"Committee on Industry, Research and Energy",ITRE,Committee,96750,François ALFONSI,Member,2019-07-02,2022-01-19
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,96750,François ALFONSI,Member,2019-07-02,
Delegation to the Parliamentary Assembly of the Union for the Mediterranean,DMED,Delegation,96750,François ALFONSI,Member,2019-07-02,
Committee on Regional Development,REGI,Committee,96750,François ALFONSI,Member,2020-02-10,2022-01-19
Delegation to the EU-UK Parliamentary Partnership Assembly,D-UK,Delegation,96750,François ALFONSI,Member,2021-10-18,
Committee on Foreign Affairs,AFET,Committee,96750,François ALFONSI,Member,2022-01-20,
Committee on Regional Development,REGI,Committee,96750,François ALFONSI,Member,2022-01-20,
Committee on Regional Development,REGI,Committee,96750,François ALFONSI,Substitute,2019-07-02,2020-02-09
Delegation for Relations with the Mashreq countries,DMAS,Delegation,96750,François ALFONSI,Substitute,2019-07-02,
Committee on Constitutional Affairs,AFCO,Committee,96750,François ALFONSI,Substitute,2020-02-10,2022-01-19
Committee on Constitutional Affairs,AFCO,Committee,96750,François ALFONSI,Substitute,2022-01-20,
"Delegation to the EU-Kazakhstan, EU-Kyrgyzstan, EU-Uzbekistan and EU-Tajikistan Parliamentary Cooperation Committees and for Relations with Turkmenistan and Mongolia",DCAS,Delegation,197848,Atidzhe ALIEVA-VELI,Vice-Chair,2019-10-14,
Committee on Employment and Social Affairs,EMPL,Committee,197848,Atidzhe ALIEVA-VELI,Member,2019-07-02,2020-01-28
Delegation to the EU-North Macedonia Joint Parliamentary Committee,D-MK,Delegation,197848,Atidzhe ALIEVA-VELI,Member,2019-07-02,
"Delegation to the EU-Kazakhstan, EU-Kyrgyzstan, EU-Uzbekistan and EU-Tajikistan Parliamentary Cooperation Committees and for Relations with Turkmenistan and Mongolia",DCAS,Delegation,197848,Atidzhe ALIEVA-VELI,Member,2019-10-09,2019-10-13
Committee on Agriculture and Rural Development,AGRI,Committee,197848,Atidzhe ALIEVA-VELI,Member,2020-01-29,2022-01-19
Committee on Employment and Social Affairs,EMPL,Committee,197848,Atidzhe ALIEVA-VELI,Member,2020-03-10,2022-01-19
Committee on Employment and Social Affairs,EMPL,Committee,197848,Atidzhe ALIEVA-VELI,Member,2022-01-20,
Committee on Agriculture and Rural Development,AGRI,Committee,197848,Atidzhe ALIEVA-VELI,Member,2022-01-20,
"Delegation to the EU-Kazakhstan, EU-Kyrgyzstan, EU-Uzbekistan and EU-Tajikistan Parliamentary Cooperation Committees and for Relations with Turkmenistan and Mongolia",DCAS,Delegation,197848,Atidzhe ALIEVA-VELI,Substitute,2019-07-02,2019-10-08
Committee on Agriculture and Rural Development,AGRI,Committee,197848,Atidzhe ALIEVA-VELI,Substitute,2019-07-02,2020-01-28
Committee on Employment and Social Affairs,EMPL,Committee,197848,Atidzhe ALIEVA-VELI,Substitute,2020-02-01,2020-03-09
Committee on Fisheries,PECH,Committee,197644,Christian ALLARD,Member,2019-07-02,2020-01-31
Delegation to the EU-Russia Parliamentary Cooperation Committee,D-RU,Delegation,197644,Christian ALLARD,Member,2019-07-02,2020-01-31
Committee on the Internal Market and Consumer Protection,IMCO,Committee,197644,Christian ALLARD,Substitute,2019-07-02,2020-01-31
Delegation for Relations with Iraq,D-IQ,Delegation,197400,Abir AL-SAHLANI,Vice-Chair,2019-09-26,
Delegation for Relations with Iraq,D-IQ,Delegation,197400,Abir AL-SAHLANI,Member,2019-07-02,2019-09-25
Committee on Employment and Social Affairs,EMPL,Committee,197400,Abir AL-SAHLANI,Member,2019-07-02,2022-01-19
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,197400,Abir AL-SAHLANI,Member,2022-01-20,
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,197400,Abir AL-SAHLANI,Substitute,2019-07-02,2022-01-19
"Delegation for Relations with Bosnia and Herzegovina, and Kosovo",DSEE,Delegation,197400,Abir AL-SAHLANI,Substitute,2019-07-02,
Committee on Women’s Rights and Gender Equality,FEMM,Committee,197400,Abir AL-SAHLANI,Substitute,2020-04-23,2022-01-19
Committee on Employment and Social Affairs,EMPL,Committee,197400,Abir AL-SAHLANI,Substitute,2022-01-20,
Committee on Women’s Rights and Gender Equality,FEMM,Committee,197400,Abir AL-SAHLANI,Substitute,2022-01-20,
"Special Committee on Foreign Interference in All Democratic Processes in the European Union, Including Disinformation, and the Strengthening of Integrity, Transparency and Accountability in the European Parliament",ING2,Special Committee,197400,Abir AL-SAHLANI,Substitute,2023-02-28,2023-08-12
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,247122,Catherine AMALRIC,Member,2023-09-11,
Subcommittee on Public Health,SANT,Subcommittee,247122,Catherine AMALRIC,Member,2023-09-11,
Committee on Employment and Social Affairs,EMPL,Committee,247122,Catherine AMALRIC,Substitute,2023-08-28,
Committee on Agriculture and Rural Development,AGRI,Committee,197746,Álvaro AMARO,Member,2019-07-02,2022-01-19
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,197746,Álvaro AMARO,Member,2019-07-02,2023-07-06
Committee on Agriculture and Rural Development,AGRI,Committee,197746,Álvaro AMARO,Member,2022-01-20,2023-07-06
Committee on Regional Development,REGI,Committee,197746,Álvaro AMARO,Substitute,2019-07-02,2022-01-19
Delegation for Relations with South Africa,D-ZA,Delegation,197746,Álvaro AMARO,Substitute,2020-02-12,2023-07-06
Committee on Regional Development,REGI,Committee,197746,Álvaro AMARO,Substitute,2022-01-20,2023-07-06
"Delegation to the EU-Kazakhstan, EU-Kyrgyzstan, EU-Uzbekistan and EU-Tajikistan Parliamentary Cooperation Committees and for Relations with Turkmenistan and Mongolia",DCAS,Delegation,197783,Andris AMERIKS,Vice-Chair,2019-09-26,
Committee on Transport and Tourism,TRAN,Committee,197783,Andris AMERIKS,Vice-Chair,2019-11-06,2022-01-19
Committee on Transport and Tourism,TRAN,Committee,197783,Andris AMERIKS,Vice-Chair,2022-01-20,
"Delegation to the EU-Kazakhstan, EU-Kyrgyzstan, EU-Uzbekistan and EU-Tajikistan Parliamentary Cooperation Committees and for Relations with Turkmenistan and Mongolia",DCAS,Delegation,197783,Andris AMERIKS,Member,2019-07-02,2019-09-25
Committee on Transport and Tourism,TRAN,Committee,197783,Andris AMERIKS,Member,2019-07-02,2019-11-05
Committee on Petitions,PETI,Committee,197783,Andris AMERIKS,Member,2019-07-02,2022-01-19
Committee on Petitions,PETI,Committee,197783,Andris AMERIKS,Member,2022-01-20,
"Committee on Industry, Research and Energy",ITRE,Committee,197783,Andris AMERIKS,Substitute,2019-07-02,2022-01-19
Delegation to the EU-Russia Parliamentary Cooperation Committee,D-RU,Delegation,197783,Andris AMERIKS,Substitute,2019-07-02,
"Committee on Industry, Research and Energy",ITRE,Committee,197783,Andris AMERIKS,Substitute,2022-01-20,
Delegation for Relations With the Countries of Southeast Asia and the Association of Southeast Asian Nations,DASE,Delegation,197475,Christine ANDERSON,Member,2019-07-02,2019-09-15
Committee on Culture and Education,CULT,Committee,197475,Christine ANDERSON,Member,2019-07-02,2022-01-19
Committee on Women’s Rights and Gender Equality,FEMM,Committee,197475,Christine ANDERSON,Member,2019-07-02,2022-01-19
Special Committee on Artificial Intelligence in a Digital Age,AIDA,Special Committee,197475,Christine ANDERSON,Member,2020-09-14,2022-03-23
Committee on Culture and Education,CULT,Committee,197475,Christine ANDERSON,Member,2022-01-20,
Committee on Women’s Rights and Gender Equality,FEMM,Committee,197475,Christine ANDERSON,Member,2022-01-20,
Committee of Inquiry to Investigate the Use of Pegasus and Equivalent Surveillance Spyware,PEGA,Special Committee,197475,Christine ANDERSON,Member,2022-03-24,2023-07-18
Committee on the Internal Market and Consumer Protection,IMCO,Committee,197475,Christine ANDERSON,Substitute,2019-07-02,2022-01-19
Committee on the Internal Market and Consumer Protection,IMCO,Committee,197475,Christine ANDERSON,Substitute,2022-01-20,
Special Committee on the COVID-19 Pandemic Lessons Learned and Recommendations for the Future,COVI,Special Committee,197475,Christine ANDERSON,Substitute,2022-03-24,2023-07-18
Committee on Constitutional Affairs,AFCO,Committee,113959,Martina ANDERSON,Member,2019-07-02,2020-01-31
Committee on International Trade,INTA,Committee,113959,Martina ANDERSON,Substitute,2019-07-02,2020-01-31
Delegation for Relations with Palestine,DPAL,Delegation,113959,Martina ANDERSON,Substitute,2019-07-02,2020-01-31
Committee on Budgets,BUDG,Committee,197448,Rasmus ANDRESEN,Member,2019-07-02,2022-01-19
Delegation for Relations with Canada,D-CA,Delegation,197448,Rasmus ANDRESEN,Member,2019-07-02,
Committee on Budgets,BUDG,Committee,197448,Rasmus ANDRESEN,Member,2022-01-20,
Committee on Economic and Monetary Affairs,ECON,Committee,197448,Rasmus ANDRESEN,Member,2022-01-20,
Subcommittee on Tax Matters,FISC,Subcommittee,197448,Rasmus ANDRESEN,Member,2022-01-20,
"Committee on Industry, Research and Energy",ITRE,Committee,197448,Rasmus ANDRESEN,Substitute,2019-07-02,2022-01-19
Committee on the Internal Market and Consumer Protection,IMCO,Committee,197448,Rasmus ANDRESEN,Substitute,2019-07-02,2022-01-19
Delegation for Relations with the United States,D-US,Delegation,197448,Rasmus ANDRESEN,Substitute,2019-07-02,
"Committee on Industry, Research and Energy",ITRE,Committee,197448,Rasmus ANDRESEN,Substitute,2022-01-20,
Committee on International Trade,INTA,Committee,204332,Barry ANDREWS,Member,2020-02-10,2022-01-19
Delegation for Relations with South Africa,D-ZA,Delegation,204332,Barry ANDREWS,Member,2020-02-12,
Delegation to the EU-UK Parliamentary Partnership Assembly,D-UK,Delegation,204332,Barry ANDREWS,Member,2021-10-18,
Committee on Development,DEVE,Committee,204332,Barry ANDREWS,Member,2022-01-20,
Committee on International Trade,INTA,Committee,204332,Barry ANDREWS,Member,2022-01-20,
Committee on Development,DEVE,Committee,204332,Barry ANDREWS,Substitute,2020-02-10,2022-01-19
Delegation to the EU-Türkiye Joint Parliamentary Committee,D-TR,Delegation,204332,Barry ANDREWS,Substitute,2020-02-12,
"Special Committee on Foreign Interference in all Democratic Processes in the European Union, including Disinformation",INGE,Special Committee,204332,Barry ANDREWS,Substitute,2020-09-14,2022-03-23
Committee on Women’s Rights and Gender Equality,FEMM,Committee,204332,Barry ANDREWS,Substitute,2022-01-26,
Delegation for Relations with Japan,D-JP,Delegation,113892,Eric ANDRIEU,Vice-Chair,2021-02-25,2022-03-06
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,113892,Eric ANDRIEU,Vice-Chair,2022-05-12,2023-06-01
Delegation to the EU-Russia Parliamentary Cooperation Committee,D-RU,Delegation,113892,Eric ANDRIEU,Member,2019-07-02,2019-09-15
Committee on Agriculture and Rural Development,AGRI,Committee,113892,Eric ANDRIEU,Member,2019-07-02,2021-12-14
Delegation for Relations with Mercosur,DMER,Delegation,113892,Eric ANDRIEU,Member,2019-07-02,2023-06-01
Delegation for Relations with Japan,D-JP,Delegation,113892,Eric ANDRIEU,Member,2020-03-10,2021-02-24
Committee on Development,DEVE,Committee,113892,Eric ANDRIEU,Member,2021-12-15,2022-01-19
Committee on Development,DEVE,Committee,113892,Eric ANDRIEU,Member,2022-01-20,2023-06-01
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,113892,Eric ANDRIEU,Member,2022-03-07,2022-05-11
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,113892,Eric ANDRIEU,Substitute,2019-07-02,2022-01-19
Delegation to the EU-Russia Parliamentary Cooperation Committee,D-RU,Delegation,113892,Eric ANDRIEU,Substitute,2019-09-18,2023-06-01
Committee on Agriculture and Rural Development,AGRI,Committee,113892,Eric ANDRIEU,Substitute,2021-12-15,2022-01-19
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,113892,Eric ANDRIEU,Substitute,2022-01-20,2023-06-01
Committee on Agriculture and Rural Development,AGRI,Committee,113892,Eric ANDRIEU,Substitute,2022-01-20,2023-06-01
Subcommittee on Public Health,SANT,Subcommittee,113892,Eric ANDRIEU,Substitute,2023-03-15,2023-06-01
Committee on Regional Development,REGI,Committee,197691,Mathilde ANDROUËT,Member,2019-07-02,2022-01-19
Delegation for Relations With the Countries of Southeast Asia and the Association of Southeast Asian Nations,DASE,Delegation,197691,Mathilde ANDROUËT,Member,2019-09-16,
Committee on Regional Development,REGI,Committee,197691,Mathilde ANDROUËT,Member,2022-01-20,2022-02-16
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,197691,Mathilde ANDROUËT,Member,2022-01-20,
Committee of Inquiry to Investigate the Use of Pegasus and Equivalent Surveillance Spyware,PEGA,Special Committee,197691,Mathilde ANDROUËT,Member,2022-03-24,2023-07-18
Committee on Regional Development,REGI,Committee,197691,Mathilde ANDROUËT,Substitute,2022-02-17,2022-05-04
Subcommittee on Security and Defence,SEDE,Subcommittee,125110,Nikos ANDROULAKIS,Vice-Chair,2019-07-10,2022-01-19
Delegation to the Euro-Latin American Parliamentary Assembly,DLAT,Delegation,125110,Nikos ANDROULAKIS,Vice-Chair,2019-09-26,2023-05-02
Subcommittee on Security and Defence,SEDE,Subcommittee,125110,Nikos ANDROULAKIS,Vice-Chair,2022-01-20,2023-05-02
Subcommittee on Security and Defence,SEDE,Subcommittee,125110,Nikos ANDROULAKIS,Member,2019-07-02,2019-07-09
Committee on International Trade,INTA,Committee,125110,Nikos ANDROULAKIS,Member,2019-07-02,2020-02-09
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,125110,Nikos ANDROULAKIS,Member,2019-07-02,2023-05-02
Delegation to the Euro-Latin American Parliamentary Assembly,DLAT,Delegation,125110,Nikos ANDROULAKIS,Member,2019-09-16,2019-09-25
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,125110,Nikos ANDROULAKIS,Member,2020-02-10,2022-01-19
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,125110,Nikos ANDROULAKIS,Member,2022-01-20,2023-05-02
